measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Cervical cancer,Number,1986,204861.1590616273,224983.21749404134,190008.47685401322
Deaths,Global,Both,All ages,Cervical cancer,Number,1988,208724.06668003538,227387.98182010613,192842.63333932814
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1982,55496.00474845504,78913.99345335661,31998.949594042384
Deaths,Global,Both,All ages,Malaria,Number,1984,671645.363641247,1420892.6581894534,313892.2423641525
Deaths,Global,Both,All ages,Dengue,Number,1984,12950.54029254143,19496.838856669245,8805.016527070276
Deaths,Global,Both,All ages,Yellow fever,Number,1984,12676.60942937209,26666.34547553682,4954.300226417837
Deaths,Global,Both,All ages,Rabies,Number,1984,22139.85686275287,28777.33901735844,15731.285633030879
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1986,53174.730663812916,72476.04700482152,33679.16327683962
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1988,52280.863226078734,69097.23362725179,34823.42941631938
Deaths,Global,Both,All ages,Malaria,Number,1988,711845.111294349,1460818.3132969786,344085.772435993
Deaths,Global,Both,All ages,Dengue,Number,1988,13838.916904724514,19081.33324586322,10346.073967597205
Deaths,Global,Both,All ages,Yellow fever,Number,1988,15871.737218804426,32911.906099196865,6252.517691230273
Deaths,Global,Both,All ages,Rabies,Number,1988,22036.255930083855,28538.86470746535,15625.094349911657
Deaths,Global,Both,All ages,Malaria,Number,1986,693653.618288765,1374128.785650553,323590.7399423198
Deaths,Global,Both,All ages,Dengue,Number,1986,13391.558731874764,19518.161469027014,9482.916230200632
Deaths,Global,Both,All ages,Yellow fever,Number,1986,14124.022555348456,30862.223561680355,5330.410094574554
Deaths,Global,Both,All ages,Rabies,Number,1986,22019.433188945062,28714.16577445606,15657.074759116656
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1990,51854.025861517366,68169.06832455249,36311.82304327101
Deaths,Global,Both,All ages,Cervical cancer,Number,1990,211483.7948125432,229841.00742503005,195724.26553170496
Deaths,Global,Both,All ages,Cervical cancer,Number,1992,214973.89161967227,231113.30994744605,199451.669468851
Deaths,Global,Both,All ages,Cervical cancer,Number,1994,218111.76391032455,234298.44147521266,205217.2216878585
Deaths,Global,Both,All ages,Cervical cancer,Number,1989,210939.8408673456,229883.65949475387,194992.4344845373
Deaths,Global,Both,All ages,Tuberculosis,Number,1997,1764093.8458726539,1931734.494230533,1572174.6077235686
Deaths,Global,Both,All ages,Typhoid fever,Number,1997,178843.13522166348,302246.16492581565,85782.5385026161
Deaths,Global,Both,All ages,Meningitis,Number,1997,402697.09065266914,460822.0063245996,352501.2869753136
Deaths,Global,Both,All ages,Diphtheria,Number,1997,17186.119488073375,23753.75684051203,12540.495333377628
Deaths,Global,Both,All ages,Tetanus,Number,1997,116385.29158437566,151489.58374177685,68937.0334564825
Deaths,Global,Both,All ages,Malaria,Number,1992,751506.8047827826,1442219.0846546523,363086.0924731327
Deaths,Global,Both,All ages,Dengue,Number,1992,14828.036443323548,18567.20288611936,11771.994036951572
Deaths,Global,Both,All ages,Yellow fever,Number,1992,11243.276330499548,24515.805194046956,4198.684071189889
Deaths,Global,Both,All ages,Rabies,Number,1992,21865.92890988028,28275.911800527534,15760.125764184337
Deaths,Global,Both,All ages,Measles,Number,1997,592245.225440785,1209383.9137294497,216175.07114879254
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1989,52212.22724136845,69400.42692756809,35014.62004588633
Deaths,Global,Both,All ages,Malaria,Number,1990,721187.27816681,1469089.155322888,352371.10784576036
Deaths,Global,Both,All ages,Dengue,Number,1990,14315.028001851146,18652.238279051406,11102.713624418666
Deaths,Global,Both,All ages,Yellow fever,Number,1990,14544.854709232817,31068.91451970539,5727.372283703429
Deaths,Global,Both,All ages,Rabies,Number,1990,21806.114997557295,28434.86155861005,15577.30487661185
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1992,51964.883743187675,67476.08316396382,37565.86858410035
Deaths,Global,Both,All ages,Tuberculosis,Number,1982,1804068.608174293,2093142.829199346,1485872.3807132293
